case number,case detail,time of fir,no of suspects,progress,police station numbers
xrYEd,Identity theft,2020-08-08 22:19:24,3,closed,06892261
Yw4KN,Assault in a public place,2020-12-15 02:00:15,3,pending,57146223
XOGTW,Drug trafficking,2021-04-26 01:36:48,7,closed,24433081
rZV41,Stalking,2020-05-03 21:53:59,3,closed,71282059
iv5Yv,Assault in a public place,2020-01-18 16:21:21,2,pending,75549747
kfYBf,Human trafficking,2019-07-08 09:13:12,2,closed,76350156
rCRVt,Robbery at a convenience store,2020-05-08 08:26:13,3,pending,95656571
LaDfT,Drug trafficking,2019-04-28 09:29:53,9,pending,99383296
WjREp,Domestic violence,2020-01-15 05:50:20,9,pending,11475102
q1k8S,Assault on an officer,2021-12-01 20:04:47,4,closed,55656637
KoqjD,Robbery at a convenience store,2020-05-05 17:44:03,1,pending,85815099
EnPcE,Cybercrime,2020-06-13 14:52:05,4,pending,56912370
HDENx,Forgery and fraud,2021-11-03 04:47:11,8,pending,50192186
FhFou,Environmental crime,2020-09-21 11:16:10,10,closed,15893777
99lEl,Stalking,2020-02-03 10:09:40,2,closed,76064902
esBvl,Vandalism in a park,2021-05-28 03:52:17,1,closed,73970938
PFC8F,Vandalism in a park,2022-06-18 15:50:01,3,pending,08042762
Pxitf,Drug trafficking,2020-05-09 00:17:19,7,pending,38889815
i2vHX,Public disturbance,2020-06-21 04:45:39,10,closed,76663267
VXBxa,Human trafficking,2021-07-27 06:45:59,6,closed,91215626
EaLDw,Public disturbance,2021-03-21 14:53:16,1,closed,05645473
6qT9x,Shoplifting at a mall,2022-08-01 00:30:59,9,closed,88880082
2cbtu,Assault on an officer,2021-04-12 08:11:15,10,pending,50384266
2LbUP,Identity theft,2021-01-14 16:05:24,8,pending,33049978
VYkI6,Car theft,2022-09-04 15:55:48,7,pending,14547317
ieaWf,Homicide,2021-11-10 12:43:36,2,pending,97356682
hOeY2,Drug trafficking,2022-08-06 20:02:31,7,closed,07969232
5fYvE,Shoplifting at a mall,2021-09-07 16:33:52,3,closed,24438524
udR3r,Trespassing,2020-07-14 23:03:01,7,pending,50518520
oP9da,Homicide,2019-01-26 22:42:02,8,closed,97551546
BqCes,Drug trafficking,2021-12-16 15:24:21,2,pending,58257742
mdYVp,Domestic violence,2021-05-09 23:03:27,10,closed,38542347
xQBPs,Public disturbance,2022-05-07 04:05:30,2,closed,04904066
Pv7CS,Shoplifting at a mall,2021-01-23 20:45:33,6,pending,98781444
W40JE,Assault in a public place,2022-04-27 22:16:34,9,pending,43475293
HGRlA,Kidnapping,2020-10-12 21:33:42,4,closed,18752881
O13cq,Cybercrime,2022-12-15 12:54:46,9,closed,39193093
FsY0s,Domestic violence,2021-05-13 14:07:39,5,pending,05007425
gnL8W,Drug trafficking,2020-11-25 03:51:15,2,pending,38330984
b2Qor,Kidnapping,2020-12-01 03:34:24,3,pending,34846413
QjRXo,Human trafficking,2022-11-30 06:41:37,6,closed,49031873
zAQOT,Assault on an officer,2019-11-27 13:12:43,6,pending,95376093
IEJmr,Public disturbance,2020-03-23 17:22:32,7,closed,75027437
IBKqu,Kidnapping,2020-07-05 08:35:31,10,closed,59289016
lQw0L,Shoplifting at a mall,2020-05-18 01:13:34,7,closed,23715694
aUaf8,Car theft,2020-01-06 02:49:14,5,closed,23967841
gZrJd,Trespassing,2021-12-31 06:43:43,3,closed,03434725
FdnZr,Robbery at a convenience store,2022-07-26 04:09:31,6,closed,96858039
8ugFl,Human trafficking,2022-12-11 01:27:07,2,closed,40570098
GOzvs,Shoplifting at a mall,2020-08-13 18:01:19,1,pending,98884337
5VEuw,Environmental crime,2019-07-05 11:46:02,1,pending,68411606
8PKC8,Stalking,2019-02-22 11:53:57,1,closed,03100253
QpV1l,Forgery and fraud,2021-12-30 20:03:23,1,pending,93212036
3KRUE,Domestic violence,2020-04-11 21:53:17,8,closed,58503633
vGh3V,Robbery at a convenience store,2021-01-23 10:39:32,3,closed,25012467
K3Gh6,Drug trafficking,2021-02-26 23:49:42,7,closed,06392512
1InX5,Identity theft,2019-05-06 22:46:43,5,pending,02661264
rBJY5,Environmental crime,2019-01-13 00:33:37,2,pending,49479653
bPWWm,Robbery at a convenience store,2020-11-01 16:32:00,1,closed,48920616
PEbPB,Drug trafficking,2019-04-18 09:34:41,1,pending,29825924
p4X4r,Child abuse,2020-02-17 03:51:01,2,pending,93358968
dHQVQ,Public disturbance,2019-10-25 02:36:28,9,pending,16002640
p2G4z,Trespassing,2020-01-31 21:49:16,5,pending,99791078
1zqsP,Human trafficking,2020-01-18 14:10:27,9,pending,93498917
dbu5e,Environmental crime,2019-09-01 12:35:07,6,pending,00553031
dql9t,Assault in a public place,2022-04-17 17:51:34,7,pending,37031970
Vw9Be,Environmental crime,2020-02-26 04:17:26,5,pending,18311133
miJV2,Drug trafficking,2022-10-15 13:56:36,5,closed,37940219
TVpR9,Trespassing,2019-06-03 23:57:42,4,closed,81402153
ZvqGs,Kidnapping,2022-01-14 23:31:18,5,closed,05800759
VxzKP,Stalking,2020-04-24 11:18:38,3,closed,38289151
uq2ga,Shoplifting at a mall,2022-08-21 04:40:21,9,closed,08250492
AuH3U,Domestic violence,2020-06-10 21:25:04,9,closed,85583869
2d8ut,Environmental crime,2020-12-26 16:07:30,1,closed,84429312
GyRHl,Assault in a public place,2021-12-08 07:08:12,2,closed,51354700
9iAiV,Domestic violence,2019-10-18 22:20:47,2,closed,82558444
mKxgR,Car theft,2022-02-19 10:26:21,4,pending,46737615
w3WoY,Homicide,2019-11-25 07:16:50,9,pending,68597500
lDm4P,Domestic violence,2020-08-03 08:52:27,7,pending,51817873
bK1lU,Child abuse,2019-01-02 21:17:46,4,pending,22411180
a3mhl,Trespassing,2021-09-05 22:07:18,1,closed,41742577
PhCm7,Environmental crime,2019-05-29 07:45:12,6,pending,10229763
2g3Hi,Environmental crime,2021-07-29 13:31:11,9,pending,03767726
8FdhM,Drug trafficking,2022-09-15 12:58:57,7,closed,21084891
cncbx,Car theft,2019-01-01 22:53:58,8,closed,28845891
Wfi8u,Forgery and fraud,2019-06-13 13:10:22,5,closed,09172262
CJysR,Vandalism in a park,2019-02-04 09:42:38,7,pending,79621932
1XGqp,Cybercrime,2022-06-21 04:36:05,3,closed,84984557
37Fg6,Assault on an officer,2021-10-03 09:59:24,8,pending,87241564
BdfKg,Trespassing,2021-02-15 09:47:24,10,closed,77315611
M3NS3,Identity theft,2021-05-10 01:24:43,1,pending,40697919
0sLrm,Assault in a public place,2020-07-20 20:45:56,1,pending,32225808
2wHze,Vandalism in a park,2019-04-14 06:43:44,3,closed,39423392
tzUDf,Drug trafficking,2022-12-21 11:07:15,9,pending,60768119
NAeZd,Public disturbance,2022-11-16 07:06:17,8,closed,04598946
nMKEj,Stalking,2022-06-05 01:21:40,1,closed,69735377
4RFHg,Child abuse,2019-04-30 21:21:27,6,pending,02708568
vg97u,Domestic violence,2022-12-03 19:54:19,3,closed,28008817
HBAhc,Assault on an officer,2022-03-09 01:27:37,3,pending,39184626
mxrUm,Arson,2021-01-02 19:37:30,9,closed,96185683
D4tDH,Drug trafficking,2021-04-27 01:14:28,5,pending,81005561
NsE4l,Arson,2021-07-25 17:22:33,8,pending,58974241
ybQi2,Identity theft,2021-08-25 22:57:07,3,closed,99147018
gJROi,Environmental crime,2019-06-20 07:08:19,7,closed,38577059
B3GsW,Burglary in a residential area,2022-08-19 01:02:33,2,closed,43052022
GEPdT,Shoplifting at a mall,2021-01-08 17:09:55,9,closed,75248441
dfrUi,Assault in a public place,2022-05-24 08:56:04,4,pending,81868895
dQulF,Burglary in a residential area,2021-04-29 17:00:40,4,pending,63536904
fxUUB,Drug trafficking,2022-01-31 02:55:38,7,pending,31893621
7gNF2,Public disturbance,2022-01-07 21:26:40,10,pending,60791159
RMmrY,Kidnapping,2020-06-15 23:32:22,8,closed,00973003
KxMKC,Stalking,2021-02-07 16:42:22,7,pending,78905864
DaRqh,Vandalism in a park,2020-05-14 01:35:09,10,pending,22365358
fvRr2,Homicide,2019-02-28 22:10:14,2,pending,13735847
AuBJD,Public disturbance,2019-03-18 17:39:33,8,closed,11678500
fLHKQ,Robbery at a convenience store,2022-07-27 09:40:12,2,pending,78220332
j3eXA,Arson,2021-08-24 16:59:30,7,pending,61880080
7vkKz,Drug trafficking,2020-04-07 10:56:03,7,closed,92745417
Cfe6q,Domestic violence,2022-12-03 02:26:14,6,pending,33918716
PyEK8,Shoplifting at a mall,2021-08-01 18:38:50,2,closed,29138778
FTIXe,Kidnapping,2021-09-06 11:32:20,4,pending,35079468
8Xt7v,Public disturbance,2022-06-07 21:04:18,3,closed,81117202
wsev8,Robbery at a convenience store,2019-09-16 01:25:42,9,closed,27349047
EZxUj,Kidnapping,2020-04-01 15:44:11,10,pending,38897356
NHKEB,Drug trafficking,2020-04-08 08:40:07,1,pending,36401976
2TMlw,Shoplifting at a mall,2022-02-06 05:58:43,4,closed,71914550
n8W1d,Homicide,2019-10-14 16:24:00,6,closed,09665358
bn3UM,Forgery and fraud,2019-08-31 06:25:11,8,closed,63860895
rT5tW,Drug trafficking,2019-09-15 16:56:43,1,closed,44585970
jr3UN,Stalking,2020-11-12 05:50:36,1,pending,65301145
Qlwxe,Homicide,2019-07-25 18:01:21,7,pending,35144628
sDERw,Robbery at a convenience store,2021-03-19 12:27:42,3,pending,84669178
9evYg,Assault in a public place,2019-03-18 00:58:39,5,closed,94353552
cc812,Kidnapping,2022-07-31 23:55:08,7,closed,11018653
05jW6,Assault in a public place,2019-04-14 05:25:57,10,pending,71162032
WZsSd,Kidnapping,2022-02-01 16:04:17,9,pending,49190417
HFOLY,Shoplifting at a mall,2022-03-04 03:13:00,5,closed,59168056
28SiV,Domestic violence,2021-01-10 07:26:16,1,closed,63226146
oPYwa,Arson,2019-05-28 02:30:11,6,closed,13315870
C6QtU,Drug trafficking,2020-08-07 15:37:23,8,closed,04534969
zY1gH,Forgery and fraud,2020-02-18 10:24:33,9,pending,03565215
mStyS,Assault in a public place,2021-08-18 10:25:21,4,pending,54785137
fD6Ds,Shoplifting at a mall,2020-05-16 13:21:37,6,pending,47503417
Trxh5,Assault on an officer,2021-03-15 13:56:23,2,closed,95421848
SpPnv,Environmental crime,2022-07-08 10:44:22,1,pending,31054564
vc3XX,Robbery at a convenience store,2021-04-23 08:30:22,5,closed,06003812
116b7,Human trafficking,2020-12-20 01:08:57,9,closed,29998733
rTedZ,Cybercrime,2022-04-19 12:11:28,9,closed,09602465
m4rgN,Shoplifting at a mall,2020-12-21 21:40:38,1,pending,38142789
nRusm,Robbery at a convenience store,2019-03-29 05:48:41,1,pending,71459906
qIcCg,Trespassing,2020-10-30 02:33:04,4,closed,07804708
jDWJx,Forgery and fraud,2021-08-24 20:01:14,5,pending,39115350
x74AW,Cybercrime,2022-01-08 01:55:42,4,pending,52688525
rnk4H,Identity theft,2019-08-26 01:11:59,1,closed,38521444
xj0qM,Vandalism in a park,2022-11-12 23:44:11,6,closed,03290501
9ppVI,Public disturbance,2019-07-16 23:52:50,7,closed,96605709
CAIgq,Stalking,2021-08-12 19:54:20,3,closed,34024258
0H3Ij,Public disturbance,2020-12-15 01:09:10,2,closed,86822894
GHZzo,Kidnapping,2020-04-22 22:28:57,2,closed,33096549
xbDIL,Cybercrime,2020-11-17 04:57:40,6,pending,58900988
hFKBx,Assault on an officer,2021-05-26 11:14:29,8,closed,94299620
CBKKK,Arson,2022-05-04 17:06:21,10,pending,90143441
KiAM6,Shoplifting at a mall,2019-11-12 12:07:23,1,closed,01775645
Gdvmq,Assault in a public place,2022-07-31 04:29:16,6,pending,40040717
7TWir,Child abuse,2020-08-25 03:54:26,5,closed,28642887
yvyVC,Car theft,2019-01-20 15:52:10,1,pending,22491011
dpmbd,Forgery and fraud,2020-10-18 16:22:09,4,closed,68411914
rtgfA,Public disturbance,2021-11-17 08:05:26,9,pending,57638440
g7cu4,Assault in a public place,2020-05-12 14:18:48,8,closed,94430523
j4WLl,Assault in a public place,2019-03-19 19:04:28,2,pending,45814277
vmMR7,Vandalism in a park,2021-10-13 18:53:15,10,pending,74802566
RlVT8,Assault in a public place,2020-05-06 10:52:50,3,closed,41472119
jZ0h6,Domestic violence,2022-02-16 12:36:39,5,pending,07543475
WIi5f,Child abuse,2020-10-04 05:55:49,9,closed,91606871
YKL0Z,Child abuse,2022-11-05 16:39:47,9,pending,55238548
rVVdJ,Forgery and fraud,2019-08-22 22:15:59,7,closed,55628825
S2nmU,Arson,2021-04-22 20:05:32,9,pending,95572726
U0mCf,Domestic violence,2019-09-24 10:52:36,3,pending,47915216
ocGPf,Child abuse,2019-10-21 05:33:10,8,pending,69913325
vYxva,Public disturbance,2021-08-02 03:27:32,8,pending,05295113
hNtlB,Human trafficking,2019-07-11 20:30:09,8,closed,13842986
4Wc6S,Child abuse,2020-10-18 23:44:27,5,closed,83747113
3NzWQ,Car theft,2021-06-25 18:34:36,1,pending,18417365
a1yOR,Assault on an officer,2021-10-06 04:56:52,5,pending,86510532
RZhSQ,Car theft,2022-05-07 22:50:44,2,pending,95374138
ykEQR,Assault on an officer,2020-07-11 02:04:44,2,closed,88005141
hE1XN,Vandalism in a park,2020-07-05 17:59:52,8,closed,04956961
V5ncP,Drug trafficking,2020-06-07 22:48:02,7,pending,70684716
JhLfp,Robbery at a convenience store,2021-01-10 07:06:24,3,pending,41298807
vcUMr,Assault on an officer,2021-03-19 08:42:17,6,pending,55135476
hdIGE,Child abuse,2022-03-28 11:33:36,3,pending,64452633
yvO2r,Car theft,2020-11-27 16:53:48,8,closed,69523246
FTzeI,Burglary in a residential area,2022-04-08 09:05:49,10,pending,13762984
CPNjK,Trespassing,2019-03-01 02:14:18,9,closed,65714194
1uvNY,Stalking,2020-01-18 05:12:58,4,pending,39431663
5lUU5,Robbery at a convenience store,2019-01-07 22:10:16,8,pending,80405219
6jREc,Arson,2020-01-25 04:25:59,3,pending,91298677
rTDgP,Arson,2020-02-05 10:12:29,2,pending,79718350
nIkoa,Human trafficking,2022-01-17 09:10:36,8,pending,05510496
R9qbW,Public disturbance,2019-01-09 12:04:05,3,pending,08268968
X0YJA,Car theft,2021-04-28 11:49:11,1,closed,15876212
aUjZU,Domestic violence,2020-01-07 20:26:58,8,pending,93375709
9V0Xt,Shoplifting at a mall,2021-07-14 17:19:43,3,pending,69506521
8WXsK,Arson,2021-05-29 23:54:42,7,closed,35805889
2r1Tu,Arson,2021-08-27 00:02:43,7,closed,70337204
nu6qf,Assault in a public place,2019-09-07 02:53:49,2,closed,75525697
1BZju,Child abuse,2021-10-12 20:19:55,4,closed,62942500
i7DnQ,Assault in a public place,2022-10-18 22:05:06,5,closed,87199238
bmh1b,Car theft,2022-05-07 11:08:09,9,pending,46591157
9WxTt,Car theft,2020-11-24 06:51:09,4,pending,86134075
OoS5t,Stalking,2021-07-31 19:14:13,1,pending,43073488
8HTHX,Assault in a public place,2020-10-16 08:46:05,8,closed,48344857
fgc7V,Shoplifting at a mall,2021-06-10 10:27:36,1,closed,93039926
vsFc6,Stalking,2020-08-15 23:23:18,3,pending,62847062
rX7v1,Public disturbance,2021-10-16 15:47:41,9,closed,92264054
IBr4y,Assault on an officer,2022-01-30 12:09:04,4,pending,90917226
98d2l,Trespassing,2020-08-09 07:47:55,9,pending,90024073
zd2Zu,Environmental crime,2022-10-02 23:20:52,7,closed,42091464
v5J9Z,Cybercrime,2022-07-16 16:04:25,2,closed,58816531
uo10U,Robbery at a convenience store,2019-08-03 15:25:49,7,closed,10806417
E7T6f,Domestic violence,2021-04-16 07:37:27,8,closed,66443543
gM8f3,Arson,2021-11-24 20:40:05,5,closed,40188008
YAJmJ,Shoplifting at a mall,2022-12-22 21:50:58,9,closed,01405676
0Gct6,Shoplifting at a mall,2022-02-01 05:00:21,8,closed,60789089
MM9ED,Stalking,2020-01-28 11:39:33,7,closed,45627898
66C5d,Robbery at a convenience store,2021-06-25 21:46:06,2,closed,78839093
1nFmt,Car theft,2020-09-13 01:04:24,2,closed,13205952
TC4Yf,Human trafficking,2022-02-06 10:24:20,4,closed,91110833
Pt19V,Arson,2022-04-29 10:59:56,5,pending,58834810
Nm8dI,Drug trafficking,2020-02-23 23:59:29,3,closed,95521126
V7CIJ,Vandalism in a park,2020-05-07 23:05:39,5,closed,42479530
Ghwo0,Drug trafficking,2021-02-21 17:22:33,9,closed,85904633
KYtqW,Vandalism in a park,2020-02-17 14:19:50,2,pending,61977888
BFVl9,Domestic violence,2019-10-07 13:50:39,10,closed,85022689
tSmlo,Assault on an officer,2019-04-25 17:41:37,7,closed,43374335
EVv7Z,Assault in a public place,2020-08-30 17:14:42,2,closed,44258040
5j9t7,Kidnapping,2021-10-25 17:32:05,5,closed,25737763
nQnIw,Robbery at a convenience store,2021-01-23 18:41:17,6,pending,14484516
LrCgN,Vandalism in a park,2019-05-13 11:18:26,6,pending,76637525
uprFv,Burglary in a residential area,2021-12-08 08:53:53,4,closed,99898344
4P73l,Arson,2022-07-15 04:36:14,5,pending,30722316
QyeOQ,Arson,2019-02-25 17:27:19,10,closed,62879728
JbHl5,Drug trafficking,2021-11-23 21:45:51,9,closed,57788178
xdH5Z,Public disturbance,2021-05-25 07:16:20,10,closed,08362195
n9n0v,Trespassing,2021-08-26 00:53:03,9,pending,45932919
VRWYq,Human trafficking,2020-10-15 11:05:54,2,pending,80121418
ie2Eu,Forgery and fraud,2019-03-23 03:23:06,8,pending,15346240
uClPN,Identity theft,2019-06-05 09:59:47,3,pending,27845737
UNgEO,Vandalism in a park,2021-03-18 20:51:26,5,closed,28176415
kKrry,Kidnapping,2020-10-02 15:32:33,2,pending,52616495
c5ogN,Drug trafficking,2022-04-20 11:21:48,5,pending,50825867
TmGC2,Kidnapping,2019-03-05 17:54:33,4,closed,13236440
tfDSJ,Stalking,2020-03-15 05:39:14,3,closed,45587629
ZIgz9,Assault in a public place,2022-05-14 22:38:34,9,pending,28389794
fkCKJ,Environmental crime,2020-01-23 08:44:05,5,pending,48289799
t3Npn,Identity theft,2021-11-24 01:18:03,9,pending,26730205
rGulD,Robbery at a convenience store,2019-10-23 21:50:30,9,pending,73054268
qGolz,Shoplifting at a mall,2019-06-15 21:23:48,3,closed,59307570
uRliM,Vandalism in a park,2022-06-29 19:42:51,9,pending,64252726
NMPBK,Cybercrime,2019-06-25 10:58:21,2,pending,95674673
Tn2l6,Environmental crime,2021-06-05 18:16:30,1,pending,77027669
Sp69A,Domestic violence,2019-04-10 10:32:41,7,closed,54212903
7jsoA,Assault in a public place,2019-12-31 15:35:00,9,pending,63296395
MNJaz,Cybercrime,2021-07-03 20:10:39,9,pending,19475569
98usY,Stalking,2021-01-21 10:00:12,6,pending,06526789
N5r3M,Trespassing,2019-11-20 23:37:09,5,pending,51468534
cVQXK,Child abuse,2020-04-22 20:56:20,9,pending,00113395
EyAsa,Trespassing,2019-06-27 06:17:36,2,closed,45551500
Uaqfx,Assault on an officer,2021-01-16 21:48:30,1,pending,71379698
4Yfua,Arson,2020-04-28 11:29:03,3,pending,86823788
4tdQS,Robbery at a convenience store,2021-09-22 21:59:11,3,pending,03644645
Ial4x,Robbery at a convenience store,2021-11-04 01:07:53,6,closed,91571779
pKckg,Vandalism in a park,2020-11-17 08:56:53,9,pending,29921875
XHnxT,Stalking,2021-03-17 00:20:37,4,closed,43186472
F7rHY,Car theft,2020-09-09 14:50:44,4,pending,58114330
gRu2G,Car theft,2022-05-03 21:37:41,9,pending,98256573
jDmzF,Shoplifting at a mall,2019-08-12 13:24:59,9,pending,57979405
V2pcN,Shoplifting at a mall,2019-06-10 16:49:07,8,pending,37344960
075Cf,Forgery and fraud,2019-11-15 00:28:10,4,closed,51753888
s8uVe,Burglary in a residential area,2020-02-21 05:09:27,9,closed,39931686
M0Y57,Assault on an officer,2019-08-22 02:58:20,4,pending,73246544
NIaSi,Drug trafficking,2020-04-29 21:51:34,3,closed,39103025
xOBrA,Identity theft,2019-04-07 17:37:51,1,pending,86993160
olhJN,Shoplifting at a mall,2020-09-06 12:53:41,5,closed,38167693
R2Txo,Burglary in a residential area,2020-07-01 15:19:34,6,closed,18274775
zFMLK,Assault in a public place,2021-02-19 02:05:18,4,pending,10016676
9L1qS,Shoplifting at a mall,2022-12-19 04:51:00,4,closed,68390438
C9s64,Identity theft,2021-12-11 18:05:19,4,pending,48647298
ytnps,Drug trafficking,2022-03-28 11:46:52,7,pending,63819234
3yYUd,Human trafficking,2020-11-10 16:50:36,6,closed,84077067
qOYVy,Public disturbance,2021-08-05 00:37:48,5,pending,20467845
Wy7uV,Environmental crime,2019-12-16 05:16:57,2,closed,60618906
SlOgN,Cybercrime,2020-02-22 05:18:52,5,closed,03038505
yixDP,Robbery at a convenience store,2021-07-12 02:28:44,1,pending,27655924
I9KFk,Assault in a public place,2020-05-10 13:05:45,3,closed,53634208
U079Q,Kidnapping,2021-07-11 07:45:28,7,pending,09147266
9E7SQ,Assault on an officer,2019-07-06 00:57:29,9,pending,82087812
sdQyk,Trespassing,2021-04-25 02:16:09,9,pending,41975527
0N2Li,Shoplifting at a mall,2022-05-18 22:02:02,3,closed,27325478
PklSv,Trespassing,2021-01-08 07:23:05,3,closed,55836422
0yFaS,Robbery at a convenience store,2021-06-01 04:40:17,1,closed,60440288
j7TL5,Child abuse,2020-10-04 17:30:25,8,pending,83942597
ckRkq,Arson,2021-09-15 02:46:16,1,closed,91741164
O74u8,Public disturbance,2022-10-16 18:28:35,9,pending,32034199
oHInN,Burglary in a residential area,2020-08-02 00:28:40,8,pending,34468976
d8rlD,Burglary in a residential area,2019-01-10 17:58:47,4,closed,90501741
m8v34,Stalking,2021-05-29 18:49:41,4,pending,73339534
8ZTVu,Stalking,2019-04-11 19:15:00,9,pending,80836253
EkSjL,Stalking,2021-08-17 03:22:50,9,closed,68602988
4ad6C,Stalking,2020-06-15 05:03:33,4,closed,61490644
y3alS,Car theft,2021-03-19 01:36:23,4,closed,18539237
B3L8I,Vandalism in a park,2022-09-11 20:50:32,6,closed,97893290
s3qNI,Assault on an officer,2019-10-09 11:03:36,7,pending,50469501
obUwx,Robbery at a convenience store,2021-07-06 02:02:53,9,closed,72846520
SzSvs,Cybercrime,2019-06-08 12:59:06,10,pending,70113793
mMypx,Burglary in a residential area,2021-04-16 08:37:05,3,closed,40706779
v1eam,Public disturbance,2020-12-08 00:26:17,4,pending,59984147
kCEEa,Robbery at a convenience store,2022-01-31 17:42:07,4,pending,97563825
CNCCT,Shoplifting at a mall,2022-11-12 04:08:32,1,pending,55371944
YrdW1,Human trafficking,2020-08-01 23:24:15,2,closed,58686224
L0vly,Public disturbance,2022-08-04 09:08:58,9,pending,01782174
9SAED,Public disturbance,2019-09-27 05:35:25,10,closed,77901845
AZs4a,Robbery at a convenience store,2021-08-11 12:50:29,9,pending,40710896
lbYrV,Trespassing,2020-02-08 11:25:02,5,pending,79135854
bgx1Q,Stalking,2019-01-24 15:05:29,5,closed,72788138
IRPHO,Assault on an officer,2022-12-01 18:17:58,10,pending,24936254
KMwxC,Public disturbance,2020-03-08 08:15:48,9,closed,50861759
71Hn6,Kidnapping,2019-04-24 13:14:24,2,pending,52596091
iBkFE,Cybercrime,2020-07-03 13:07:04,5,closed,15161765
V9w37,Assault in a public place,2020-02-20 16:48:44,10,closed,83900463
IE0PK,Forgery and fraud,2020-03-21 12:45:34,8,closed,45607912
3xJzD,Robbery at a convenience store,2021-03-04 21:27:51,7,pending,99405333
WcaW3,Assault on an officer,2021-07-04 07:23:17,2,closed,98378749
OOohT,Public disturbance,2019-05-10 23:57:24,6,pending,89113979
1Zx3X,Drug trafficking,2019-02-02 00:27:12,4,pending,46540619
YCJZQ,Domestic violence,2020-04-24 15:14:40,6,pending,07405459
Jz5y8,Shoplifting at a mall,2020-06-30 14:34:40,3,closed,25394639
bQkEh,Child abuse,2020-02-10 11:49:12,5,closed,69382491
5qoHH,Shoplifting at a mall,2022-08-26 20:26:12,9,closed,88539704
lRg4N,Identity theft,2020-09-01 08:22:14,1,closed,88749525
TFRhX,Child abuse,2020-04-14 10:24:15,6,closed,43750339
7iQDx,Public disturbance,2022-02-27 17:18:01,5,pending,03129945
v2nUn,Arson,2019-01-22 20:33:15,1,closed,20913450
3pVvs,Identity theft,2021-09-02 20:48:21,4,closed,50986728
yrIJC,Assault in a public place,2019-12-12 01:59:21,10,pending,70820714
iWLJI,Assault in a public place,2020-07-25 20:56:22,10,closed,41068197
SgPb4,Environmental crime,2019-11-08 15:28:50,4,closed,99641773
ry9R1,Burglary in a residential area,2019-08-12 12:37:27,6,closed,56039508
Wq8PD,Identity theft,2021-12-29 17:26:11,9,pending,62071523
qyoNR,Assault in a public place,2020-01-22 11:22:19,4,pending,00394890
AYzy2,Identity theft,2020-09-18 21:00:19,9,pending,31470054
5B5K9,Vandalism in a park,2020-10-12 23:18:56,5,pending,91443100
55eJg,Environmental crime,2019-03-11 04:59:55,9,pending,89811443
B9TcB,Drug trafficking,2022-01-16 06:19:33,10,pending,40041630
M2aj8,Assault on an officer,2019-09-11 13:14:32,4,closed,37087456
4lxcF,Assault in a public place,2021-04-21 08:27:47,10,closed,85565006
776zR,Homicide,2021-02-06 01:28:40,6,closed,68757053
LZXCz,Cybercrime,2021-04-15 17:47:57,10,pending,49944012
co31q,Homicide,2022-04-26 04:48:44,4,closed,16698952
AitfM,Cybercrime,2020-01-29 00:17:31,5,pending,69146250
ReRJV,Kidnapping,2022-12-27 16:19:05,2,pending,44306259
ztfKz,Forgery and fraud,2021-04-01 02:58:44,1,pending,50996813
uRt7h,Drug trafficking,2019-07-25 08:49:57,7,closed,90631392
L1PWh,Stalking,2019-10-18 06:44:33,6,closed,78904888
hOr77,Assault in a public place,2019-04-23 14:11:31,4,closed,38346645
i8JVL,Kidnapping,2020-11-14 19:45:31,7,pending,83111098
VMoVy,Drug trafficking,2022-10-14 00:03:14,10,closed,65771720
npH8s,Assault on an officer,2021-09-06 08:44:54,9,pending,63066437
YyH1P,Child abuse,2019-05-30 07:29:46,8,pending,70444472
BliHM,Child abuse,2019-11-12 07:06:35,5,closed,61507475
QHsLL,Child abuse,2020-04-30 20:31:33,7,pending,51775415
TctNC,Trespassing,2020-01-11 16:53:58,2,pending,45681958
1Crwp,Public disturbance,2022-11-12 21:08:01,2,pending,51059423
M1IBd,Homicide,2020-08-10 01:38:21,1,closed,56885791
eKjEK,Homicide,2019-02-01 11:33:18,9,pending,53770629
rHIGr,Assault on an officer,2020-05-10 18:05:38,4,closed,88797506
TE213,Forgery and fraud,2019-02-01 06:19:27,8,closed,22732508
1LspZ,Kidnapping,2021-02-01 22:10:36,9,pending,61229776
Bjo1E,Public disturbance,2019-11-07 06:07:34,4,pending,50465781
Aqopx,Trespassing,2019-10-12 13:43:43,7,closed,46546294
ZkZHC,Vandalism in a park,2021-02-11 20:14:37,5,closed,24640100
DtNPv,Assault on an officer,2022-11-03 07:25:22,1,closed,77830898
nlLcR,Stalking,2019-02-08 20:00:44,2,closed,33900950
FgjCI,Vandalism in a park,2020-03-15 15:17:04,4,closed,98870921
hm4Yh,Cybercrime,2020-01-09 05:10:38,10,closed,75068657
hRC6L,Kidnapping,2022-01-19 10:54:56,10,pending,08748787
WnsRt,Robbery at a convenience store,2019-03-04 07:52:11,3,closed,75940243
gmPuh,Shoplifting at a mall,2022-02-09 10:22:08,8,pending,93722592
l6vnK,Forgery and fraud,2020-10-02 21:54:51,8,closed,90208477
flwyX,Car theft,2022-03-19 06:09:35,7,closed,63918014
IhCNC,Shoplifting at a mall,2021-07-22 06:10:04,2,pending,75965680
T1COy,Cybercrime,2019-02-22 15:16:52,8,closed,01974895
kFdLA,Kidnapping,2022-10-06 01:14:04,10,closed,86489450
ARTDB,Kidnapping,2021-02-16 19:33:43,7,closed,21358513
